fold,bin_idx,bin_left,bin_right,mean_norm_price
2,25,1.25,1.3,0.15669932838342832
2,26,1.3,1.35,0.5929547373243642
2,27,1.35,1.4000000000000001,0.4000116412718012
2,28,1.4000000000000001,1.4500000000000002,0.1722243774891125
2,29,1.4500000000000002,1.5,0.19376229433937237
3,0,0.0,0.05,0.6871343521550233
3,1,0.05,0.1,0.8830280392750677
3,2,0.1,0.15000000000000002,0.8129968691733597
3,3,0.15000000000000002,0.2,0.7598681868406267
3,4,0.2,0.25,0.6975596354809525
3,5,0.25,0.30000000000000004,0.5689166307572194
3,6,0.30000000000000004,0.35000000000000003,0.5141994021717913
3,7,0.35000000000000003,0.4,0.4399492426568153
3,8,0.4,0.45,0.3761712998907402
3,9,0.45,0.5,0.3595360902767301
3,10,0.5,0.55,0.23778756243807536
3,11,0.55,0.6000000000000001,0.23812742737485348
3,12,0.6000000000000001,0.65,0.17931146166620623
3,13,0.65,0.7000000000000001,0.1566852033179111
3,14,0.7000000000000001,0.75,0.22463791125721586
3,15,0.75,0.8,0.17952889942172587
3,16,0.8,0.8500000000000001,0.21787973642197353
3,17,0.8500000000000001,0.9,0.22090919622663885
3,18,0.9,0.9500000000000001,0.33577935952570936
3,19,0.9500000000000001,1.0,0.37072347309344356
3,20,1.0,1.05,0.45320937269354894
3,21,1.05,1.1,0.5056564216007383
3,22,1.1,1.1500000000000001,0.3703183232400807
3,23,1.1500000000000001,1.2000000000000002,0.3021511265751719
3,24,1.2000000000000002,1.25,0.24070870683951562
3,25,1.25,1.3,0.15669932838342832
3,26,1.3,1.35,0.5929547373243642
3,27,1.35,1.4000000000000001,0.4000116412718012
3,28,1.4000000000000001,1.4500000000000002,0.1722243774891125
3,29,1.4500000000000002,1.5,0.19376229433937237
4,0,0.0,0.05,0.6995686271027811
4,1,0.05,0.1,0.8805326152138199
4,2,0.1,0.15000000000000002,0.812279311362282
4,3,0.15000000000000002,0.2,0.7600470119885153
4,4,0.2,0.25,0.69836205141362
4,5,0.25,0.30000000000000004,0.5765870541406232
4,6,0.30000000000000004,0.35000000000000003,0.5199933672851192
4,7,0.35000000000000003,0.4,0.45120037832178156
4,8,0.4,0.45,0.3866814093604643
4,9,0.45,0.5,0.3647802080115125
4,10,0.5,0.55,0.24854393532391597
4,11,0.55,0.6000000000000001,0.2430974337670075
4,12,0.6000000000000001,0.65,0.22001056751365328
4,13,0.65,0.7000000000000001,0.19903339029355058
4,14,0.7000000000000001,0.75,0.23416937827837908
4,15,0.75,0.8,0.17562962077734035
4,16,0.8,0.8500000000000001,0.21299218925429625
4,17,0.8500000000000001,0.9,0.20834525881239932
4,18,0.9,0.9500000000000001,0.321874253676548
4,19,0.9500000000000001,1.0,0.3586029545883766
4,20,1.0,1.05,0.4323187832495477
4,21,1.05,1.1,0.44686458272743873
4,22,1.1,1.1500000000000001,0.33518833934280595
4,23,1.1500000000000001,1.2000000000000002,0.3021511265751719
4,24,1.2000000000000002,1.25,0.24070870683951562
4,25,1.25,1.3,0.15669932838342832
4,26,1.3,1.35,0.5929547373243642
4,27,1.35,1.4000000000000001,0.4000116412718012
4,28,1.4000000000000001,1.4500000000000002,0.1722243774891125
4,29,1.4500000000000002,1.5,0.19376229433937237
5,0,0.0,0.05,0.6894953236087071
5,1,0.05,0.1,0.8552598488114717
5,2,0.1,0.15000000000000002,0.8087901860710754
5,3,0.15000000000000002,0.2,0.7531943043858802
5,4,0.2,0.25,0.6949363819050763
5,5,0.25,0.30000000000000004,0.5738535693267222
5,6,0.30000000000000004,0.35000000000000003,0.5143362719656488
5,7,0.35000000000000003,0.4,0.44915278863711283
5,8,0.4,0.45,0.3836804507395483
